,DateTime,Close
0,2016-08-11,38.56
1,2016-08-12,38.63
2,2016-08-15,38.42
3,2016-08-16,38.2
4,2016-08-17,38.21
5,2016-08-18,38.21
6,2016-08-19,37.85
7,2016-08-22,37.97
8,2016-08-23,38.12
9,2016-08-24,37.86
10,2016-08-25,37.96
11,2016-08-26,38.45
12,2016-08-29,38.56
13,2016-08-30,38.38
14,2016-08-31,38.45
15,2016-09-01,38.53
16,2016-09-02,38.62
17,2016-09-06,39.44
18,2016-09-07,39.22
19,2016-09-08,39.2
20,2016-09-09,38.01
21,2016-09-12,38.57
22,2016-09-13,38.05
23,2016-09-14,38.05
24,2016-09-15,38.48
25,2016-09-16,38.92
26,2016-09-19,38.75
27,2016-09-20,39.01
28,2016-09-21,39.48
29,2016-09-22,40.23
30,2016-09-23,40.28
31,2016-09-26,39.96
32,2016-09-27,40.81
33,2016-09-28,41.44
34,2016-09-29,41.45
35,2016-09-30,41.86
36,2016-10-03,41.84
37,2016-10-04,41.7
38,2016-10-05,42.22
39,2016-10-06,42.09
40,2016-10-07,41.95
41,2016-10-10,42.07
42,2016-10-11,41.54
43,2016-10-12,41.71
44,2016-10-13,41.46
45,2016-10-14,41.15
46,2016-10-17,40.65
47,2016-10-18,40.88
48,2016-10-19,40.88
49,2016-10-20,40.52
50,2016-10-21,40.95
51,2016-10-24,41.87
52,2016-10-25,41.75
53,2016-10-26,41.13
54,2016-10-27,40.92
55,2016-10-28,38.81
56,2016-10-31,39.49
57,2016-11-01,39.26
58,2016-11-02,38.28
59,2016-11-03,38.34
60,2016-11-04,37.74
61,2016-11-07,39.25
62,2016-11-08,39.37
63,2016-11-09,38.59
64,2016-11-10,37.11
65,2016-11-11,36.93
66,2016-11-14,35.95
67,2016-11-15,37.17
68,2016-11-16,37.3
69,2016-11-17,37.82
70,2016-11-18,38.01
71,2016-11-21,39.0
72,2016-11-22,39.27
73,2016-11-23,38.99
74,2016-11-25,39.01
75,2016-11-28,38.34
76,2016-11-29,38.11
77,2016-11-30,37.53
78,2016-12-01,37.17
79,2016-12-02,37.02
80,2016-12-05,37.97
81,2016-12-06,38.23
82,2016-12-07,38.51
83,2016-12-08,38.36
84,2016-12-09,38.43
85,2016-12-12,37.99
86,2016-12-13,38.72
87,2016-12-14,38.44
88,2016-12-15,38.03
89,2016-12-16,37.88
90,2016-12-19,38.3
91,2016-12-20,38.56
92,2016-12-21,38.52
93,2016-12-22,38.3
94,2016-12-23,38.02
95,2016-12-27,38.57
96,2016-12-28,38.6
97,2016-12-29,38.23
98,2016-12-30,37.5
99,2017-01-03,37.68
100,2017-01-04,37.85
101,2017-01-05,39.02
102,2017-01-06,39.8
103,2017-01-09,39.84
104,2017-01-10,39.78
105,2017-01-11,39.95
106,2017-01-12,40.68
107,2017-01-13,40.86
108,2017-01-17,40.48
109,2017-01-18,40.36
110,2017-01-19,40.45
111,2017-01-20,40.41
112,2017-01-23,40.9
113,2017-01-24,41.11
114,2017-01-25,41.83
115,2017-01-26,41.94
116,2017-01-27,41.79
117,2017-01-30,41.5
118,2017-01-31,41.16
119,2017-02-01,41.61
120,2017-02-02,41.99
121,2017-02-03,40.5
122,2017-02-06,40.36
123,2017-02-07,40.62
124,2017-02-08,40.97
125,2017-02-09,41.06
126,2017-02-10,41.35
127,2017-02-13,41.83
128,2017-02-14,41.81
129,2017-02-15,42.14
130,2017-02-16,42.2
131,2017-02-17,42.25
132,2017-02-21,42.79
133,2017-02-22,42.78
134,2017-02-23,42.58
135,2017-02-24,42.26
136,2017-02-27,42.43
137,2017-02-28,42.24
138,2017-03-01,42.63
139,2017-03-02,42.44
140,2017-03-03,42.48
141,2017-03-06,42.32
142,2017-03-07,42.3
143,2017-03-08,42.52
144,2017-03-09,42.65
145,2017-03-10,42.61
146,2017-03-13,42.73
147,2017-03-14,42.61
148,2017-03-15,42.64
149,2017-03-16,42.67
150,2017-03-17,42.62
151,2017-03-20,42.85
152,2017-03-21,42.15
153,2017-03-22,42.4
154,2017-03-23,42.37
155,2017-03-24,42.28
156,2017-03-27,42.34
157,2017-03-28,42.8
158,2017-03-29,43.72
159,2017-03-30,43.81
160,2017-03-31,44.33
161,2017-04-03,44.58
162,2017-04-04,45.34
163,2017-04-05,45.46
164,2017-04-06,44.89
165,2017-04-07,44.74
166,2017-04-10,45.35
167,2017-04-11,45.12
168,2017-04-12,44.81
169,2017-04-13,44.23
170,2017-04-17,45.1
171,2017-04-18,45.18
172,2017-04-19,44.95
173,2017-04-20,45.08
174,2017-04-21,44.92
175,2017-04-24,45.35
176,2017-04-25,45.37
177,2017-04-26,45.46
178,2017-04-27,45.94
