,DateTime,Close
0,2016-08-11,6.57
1,2016-08-12,6.72
2,2016-08-15,6.94
3,2016-08-16,6.77
4,2016-08-17,6.68
5,2016-08-18,7.04
6,2016-08-19,7.62
7,2016-08-22,7.58
8,2016-08-23,7.66
9,2016-08-24,7.43
10,2016-08-25,7.46
11,2016-08-26,7.66
12,2016-08-29,7.58
13,2016-08-30,7.49
14,2016-08-31,7.39
15,2016-09-01,7.34
16,2016-09-02,7.51
17,2016-09-06,7.33
18,2016-09-07,6.83
19,2016-09-08,6.22
20,2016-09-09,5.89
21,2016-09-12,5.93
22,2016-09-13,5.73
23,2016-09-14,6.04
24,2016-09-15,6.01
25,2016-09-16,6.05
26,2016-09-19,6.15
27,2016-09-20,6.17
28,2016-09-21,6.28
29,2016-09-22,6.36
30,2016-09-23,6.55
31,2016-09-26,6.32
32,2016-09-27,6.53
33,2016-09-28,6.58
34,2016-09-29,6.66
35,2016-09-30,6.91
36,2016-10-03,6.95
37,2016-10-04,6.96
38,2016-10-05,6.77
39,2016-10-06,6.95
40,2016-10-07,6.73
41,2016-10-10,6.83
42,2016-10-11,6.49
43,2016-10-12,6.6
44,2016-10-13,6.48
45,2016-10-14,6.74
46,2016-10-17,6.67
47,2016-10-18,6.73
48,2016-10-19,6.76
49,2016-10-20,6.95
50,2016-10-21,6.51
51,2016-10-24,7.0
52,2016-10-25,7.49
53,2016-10-26,7.29
54,2016-10-27,7.1
55,2016-10-28,7.2
56,2016-10-31,7.22
57,2016-11-01,7.09
58,2016-11-02,6.76
59,2016-11-03,6.69
60,2016-11-04,6.55
61,2016-11-07,6.95
62,2016-11-08,6.99
63,2016-11-09,6.94
64,2016-11-10,6.29
65,2016-11-11,6.68
66,2016-11-14,6.79
67,2016-11-15,6.96
68,2016-11-16,7.67
69,2016-11-17,8.46
70,2016-11-18,8.71
71,2016-11-21,8.94
72,2016-11-22,8.68
73,2016-11-23,8.79
74,2016-11-25,8.77
75,2016-11-28,8.83
76,2016-11-29,8.93
77,2016-11-30,8.91
78,2016-12-01,8.38
79,2016-12-02,8.52
80,2016-12-05,8.67
81,2016-12-06,9.44
82,2016-12-07,9.56
83,2016-12-08,10.33
84,2016-12-09,10.33
85,2016-12-12,10.68
86,2016-12-13,10.54
87,2016-12-14,10.54
88,2016-12-15,10.85
89,2016-12-16,10.66
90,2016-12-19,10.94
91,2016-12-20,11.5
92,2016-12-21,11.47
93,2016-12-22,11.6
94,2016-12-23,11.57
95,2016-12-27,12.06
96,2016-12-28,11.54
97,2016-12-29,11.59
98,2016-12-30,11.33
99,2017-01-03,11.42
100,2017-01-04,11.42
101,2017-01-05,11.24
102,2017-01-06,11.31
103,2017-01-09,11.49
104,2017-01-10,11.43
105,2017-01-11,11.2
106,2017-01-12,10.75
107,2017-01-13,10.57
108,2017-01-17,9.81
109,2017-01-18,9.88
110,2017-01-19,9.77
111,2017-01-20,9.74
112,2017-01-23,9.9
113,2017-01-24,10.43
114,2017-01-25,10.35
115,2017-01-26,10.51
116,2017-01-27,10.66
117,2017-01-30,10.61
118,2017-01-31,10.37
119,2017-02-01,12.05
120,2017-02-02,12.27
121,2017-02-03,12.23
122,2017-02-06,13.63
123,2017-02-07,13.28
124,2017-02-08,13.55
125,2017-02-09,13.4
126,2017-02-10,13.57
127,2017-02-13,13.48
128,2017-02-14,13.25
129,2017-02-15,13.29
130,2017-02-16,12.96
131,2017-02-17,13.12
132,2017-02-21,13.99
133,2017-02-22,14.28
134,2017-02-23,14.31
135,2017-02-24,14.11
136,2017-02-27,15.19
137,2017-02-28,14.45
138,2017-03-01,14.95
139,2017-03-02,13.88
140,2017-03-03,13.02
141,2017-03-06,13.03
142,2017-03-07,13.04
143,2017-03-08,13.21
144,2017-03-09,13.32
145,2017-03-10,13.9
146,2017-03-13,14.27
147,2017-03-14,14.09
148,2017-03-15,13.98
149,2017-03-16,13.65
150,2017-03-17,13.49
151,2017-03-20,14.39
152,2017-03-21,13.82
153,2017-03-22,14.1
154,2017-03-23,13.79
155,2017-03-24,13.7
156,2017-03-27,13.69
157,2017-03-28,13.68
158,2017-03-29,13.71
159,2017-03-30,14.04
160,2017-03-31,14.55
161,2017-04-03,14.64
162,2017-04-04,14.15
163,2017-04-05,14.16
164,2017-04-06,13.27
165,2017-04-07,13.52
166,2017-04-10,13.09
167,2017-04-11,13.09
168,2017-04-12,12.76
169,2017-04-13,12.3
170,2017-04-17,12.78
171,2017-04-18,12.94
172,2017-04-19,12.83
173,2017-04-20,13.1
174,2017-04-21,13.0
175,2017-04-24,13.12
176,2017-04-25,13.48
177,2017-04-26,13.4
178,2017-04-27,13.62
179,2017-04-28,13.29
180,2017-05-01,13.61
181,2017-05-02,10.3
182,2017-05-03,10.38
183,2017-05-04,10.09
184,2017-05-05,10.18
185,2017-05-08,10.03
186,2017-05-09,10.16
187,2017-05-10,10.78
188,2017-05-11,11.07
189,2017-05-12,11.25
190,2017-05-15,11.41
191,2017-05-16,12.75
192,2017-05-17,11.19
193,2017-05-18,11.27
194,2017-05-19,11.4
195,2017-05-22,11.03
196,2017-05-23,10.88
197,2017-05-24,10.88
198,2017-05-25,10.97
199,2017-05-26,11.0
200,2017-05-30,11.11
201,2017-05-31,11.18
202,2017-06-01,10.92
203,2017-06-02,10.89
204,2017-06-05,11.24
205,2017-06-06,12.02
206,2017-06-07,12.38
207,2017-06-08,12.89
208,2017-06-09,12.27
209,2017-06-12,12.08
210,2017-06-13,11.96
211,2017-06-14,11.76
212,2017-06-15,11.49
213,2017-06-16,11.42
214,2017-06-19,11.92
215,2017-06-20,12.63
216,2017-06-21,13.99
217,2017-06-22,14.37
218,2017-06-23,14.12
219,2017-06-26,14.07
220,2017-06-27,13.39
221,2017-06-28,13.22
222,2017-06-29,12.6
223,2017-06-30,12.47
224,2017-07-03,12.15
225,2017-07-05,13.18
226,2017-07-06,13.03
227,2017-07-07,13.35
228,2017-07-10,13.81
229,2017-07-11,13.88
230,2017-07-12,14.28
231,2017-07-13,13.52
232,2017-07-14,13.91
233,2017-07-17,13.79
234,2017-07-18,13.48
235,2017-07-19,13.54
236,2017-07-20,13.79
237,2017-07-21,13.87
238,2017-07-24,14.16
239,2017-07-25,14.12
240,2017-07-26,14.75
241,2017-07-27,14.12
242,2017-07-28,13.94
243,2017-07-31,13.61
244,2017-08-01,13.7
245,2017-08-02,13.36
246,2017-08-03,13.24
247,2017-08-04,13.12
248,2017-08-07,13.42
249,2017-08-08,13.09
250,2017-08-09,12.82
251,2017-08-10,12.11
252,2017-08-11,12.22
253,2017-08-14,12.76
254,2017-08-15,13.02
255,2017-08-16,12.63
256,2017-08-17,12.33
257,2017-08-18,12.37
258,2017-08-21,12.05
259,2017-08-22,12.16
260,2017-08-23,12.47
261,2017-08-24,12.5
262,2017-08-25,12.42
263,2017-08-28,12.22
264,2017-08-29,12.14
265,2017-08-30,12.66
266,2017-08-31,12.99
267,2017-09-01,13.18
268,2017-09-05,12.92
269,2017-09-06,12.85
270,2017-09-07,12.63
271,2017-09-08,12.24
272,2017-09-11,12.55
273,2017-09-12,12.29
274,2017-09-13,12.22
275,2017-09-14,12.25
276,2017-09-15,12.51
277,2017-09-18,13.07
278,2017-09-19,13.11
279,2017-09-20,13.75
280,2017-09-21,13.41
281,2017-09-22,13.29
282,2017-09-25,12.6
283,2017-09-26,12.44
284,2017-09-27,12.74
285,2017-09-28,12.73
286,2017-09-29,12.74
287,2017-10-02,12.71
288,2017-10-03,13.41
289,2017-10-04,13.31
290,2017-10-05,13.33
291,2017-10-06,13.22
292,2017-10-09,13.46
293,2017-10-10,13.69
294,2017-10-11,13.88
295,2017-10-12,14.19
296,2017-10-13,14.21
297,2017-10-16,14.25
298,2017-10-17,14.15
299,2017-10-18,14.06
300,2017-10-19,13.94
301,2017-10-20,13.81
302,2017-10-23,14.09
303,2017-10-24,14.26
304,2017-10-25,12.32
305,2017-10-26,12.0
306,2017-10-27,11.8
307,2017-10-30,10.88
308,2017-10-31,10.98
309,2017-11-01,10.79
310,2017-11-02,10.84
311,2017-11-03,11.11
312,2017-11-06,11.94
313,2017-11-07,12.04
314,2017-11-08,11.7
315,2017-11-09,11.11
316,2017-11-10,11.25
317,2017-11-13,11.07
318,2017-11-14,11.11
319,2017-11-15,11.06
320,2017-11-16,11.24
321,2017-11-17,11.38
322,2017-11-20,11.33
323,2017-11-21,11.39
324,2017-11-22,11.37
325,2017-11-24,11.37
326,2017-11-27,11.55
327,2017-11-28,11.16
328,2017-11-29,10.82
329,2017-11-30,10.9
330,2017-12-01,10.72
331,2017-12-04,10.03
332,2017-12-05,9.9
333,2017-12-06,9.99
334,2017-12-07,10.04
335,2017-12-08,9.92
336,2017-12-11,10.15
337,2017-12-12,9.89
338,2017-12-13,10.1
339,2017-12-14,10.12
340,2017-12-15,10.29
341,2017-12-18,10.98
342,2017-12-19,10.94
343,2017-12-20,10.98
344,2017-12-21,10.88
345,2017-12-22,10.53
346,2017-12-26,10.47
347,2017-12-27,10.52
348,2017-12-28,10.54
349,2017-12-29,10.28
350,2018-01-02,10.98
351,2018-01-03,11.54
352,2018-01-04,12.11
353,2018-01-05,11.87
354,2018-01-08,12.28
355,2018-01-09,11.81
356,2018-01-10,11.96
357,2018-01-11,12.14
358,2018-01-12,12.02
359,2018-01-16,11.91
360,2018-01-17,12.17
361,2018-01-18,12.46
362,2018-01-19,12.57
363,2018-01-22,12.64
364,2018-01-23,12.93
365,2018-01-24,12.7
366,2018-01-25,12.41
367,2018-01-26,12.93
368,2018-01-29,13.32
369,2018-01-30,12.86
370,2018-01-31,13.73
371,2018-02-01,13.24
372,2018-02-02,12.44
373,2018-02-05,11.56
374,2018-02-06,11.64
375,2018-02-07,11.6
376,2018-02-08,11.21
377,2018-02-09,11.3
378,2018-02-12,11.69
379,2018-02-13,11.78
380,2018-02-14,12.19
381,2018-02-15,12.18
382,2018-02-16,11.82
383,2018-02-20,12.02
384,2018-02-21,11.72
385,2018-02-22,11.83
386,2018-02-23,12.07
387,2018-02-26,12.42
388,2018-02-27,12.52
389,2018-02-28,12.1
390,2018-03-01,11.89
391,2018-03-02,11.8
392,2018-03-05,11.9
393,2018-03-06,11.75
394,2018-03-07,12.23
395,2018-03-08,11.96
396,2018-03-09,11.69
397,2018-03-12,11.51
398,2018-03-13,11.63
399,2018-03-14,11.36
400,2018-03-15,11.46
401,2018-03-16,11.47
402,2018-03-19,11.43
403,2018-03-20,11.1
404,2018-03-21,11.25
405,2018-03-22,10.91
406,2018-03-23,10.63
407,2018-03-26,10.43
408,2018-03-27,10.0
409,2018-03-28,9.8
410,2018-03-29,10.05
411,2018-04-02,9.53
412,2018-04-03,9.54
413,2018-04-04,9.77
414,2018-04-05,10.02
415,2018-04-06,9.6
416,2018-04-09,9.52
417,2018-04-10,9.98
418,2018-04-11,9.81
419,2018-04-12,10.08
420,2018-04-13,9.93
421,2018-04-16,10.09
422,2018-04-17,10.51
423,2018-04-18,10.36
424,2018-04-19,10.11
425,2018-04-20,9.99
426,2018-04-23,10.03
427,2018-04-24,10.09
428,2018-04-25,9.71
429,2018-04-26,11.03
430,2018-04-27,11.1
431,2018-04-30,10.87
432,2018-05-01,11.12
433,2018-05-02,10.97
434,2018-05-03,10.93
435,2018-05-04,11.27
436,2018-05-07,11.58
437,2018-05-08,11.6
438,2018-05-09,11.94
439,2018-05-10,12.13
440,2018-05-11,11.94
441,2018-05-14,12.22
442,2018-05-15,12.44
443,2018-05-16,12.82
444,2018-05-17,12.81
445,2018-05-18,13.0
446,2018-05-21,12.98
447,2018-05-22,12.97
448,2018-05-23,13.09
449,2018-05-24,13.4
450,2018-05-25,13.54
451,2018-05-29,13.35
452,2018-05-30,13.81
453,2018-05-31,13.72
454,2018-06-01,14.39
455,2018-06-04,14.84
456,2018-06-05,14.84
457,2018-06-06,15.66
458,2018-06-07,14.88
459,2018-06-08,15.24
460,2018-06-11,15.73
461,2018-06-12,15.84
462,2018-06-13,16.31
463,2018-06-14,16.24
464,2018-06-15,16.34
465,2018-06-18,17.11
466,2018-06-19,16.68
467,2018-06-20,16.51
468,2018-06-21,15.64
469,2018-06-22,15.77
470,2018-06-25,15.11
471,2018-06-26,15.5
472,2018-06-27,14.96
473,2018-06-28,15.3
474,2018-06-29,14.98
475,2018-07-02,15.15
476,2018-07-03,15.0
477,2018-07-05,15.49
478,2018-07-06,16.36
479,2018-07-09,16.6
480,2018-07-10,16.54
481,2018-07-11,16.26
482,2018-07-12,16.55
483,2018-07-13,16.27
484,2018-07-16,16.57
485,2018-07-17,16.86
486,2018-07-18,16.84
487,2018-07-19,16.7
488,2018-07-20,16.5
489,2018-07-23,16.65
490,2018-07-24,16.18
491,2018-07-25,16.04
492,2018-07-26,18.34
493,2018-07-27,18.93
494,2018-07-30,19.42
495,2018-07-31,18.33
496,2018-08-01,18.47
497,2018-08-02,18.78
498,2018-08-03,18.48
499,2018-08-06,19.43
500,2018-08-07,19.57
501,2018-08-08,19.58
502,2018-08-09,19.09
503,2018-08-10,19.05
504,2018-08-13,19.72
505,2018-08-14,20.02
506,2018-08-15,19.69
507,2018-08-16,19.33
508,2018-08-17,19.76
509,2018-08-20,19.97
510,2018-08-21,20.39
511,2018-08-22,20.89
512,2018-08-23,22.29
513,2018-08-24,23.97
514,2018-08-27,25.25
515,2018-08-28,25.04
516,2018-08-29,25.19
517,2018-08-30,24.88
518,2018-08-31,25.16
519,2018-09-04,28.06
520,2018-09-05,28.5
521,2018-09-06,27.83
522,2018-09-07,27.38
523,2018-09-10,29.89
524,2018-09-11,30.09
525,2018-09-12,32.22
526,2018-09-13,30.47
527,2018-09-14,32.71
528,2018-09-17,32.42
529,2018-09-18,31.92
530,2018-09-19,31.2
531,2018-09-20,31.18
532,2018-09-21,31.01
533,2018-09-24,32.61
534,2018-09-25,32.57
535,2018-09-26,32.17
536,2018-09-27,32.58
537,2018-09-28,30.88
538,2018-10-01,31.41
539,2018-10-02,29.01
540,2018-10-03,28.42
541,2018-10-04,27.77
542,2018-10-05,27.36
543,2018-10-08,26.46
544,2018-10-09,27.24
545,2018-10-10,25.0
546,2018-10-11,25.3
547,2018-10-12,26.34
548,2018-10-15,26.25
549,2018-10-16,28.17
550,2018-10-17,27.3
551,2018-10-18,26.61
552,2018-10-19,23.65
553,2018-10-22,25.03
554,2018-10-23,25.09
555,2018-10-24,22.78
556,2018-10-25,19.26
557,2018-10-26,17.62
558,2018-10-29,16.85
559,2018-10-30,17.21
560,2018-10-31,18.2
561,2018-11-01,20.22
562,2018-11-02,20.22
563,2018-11-05,19.91
564,2018-11-06,20.68
565,2018-11-07,21.83
566,2018-11-08,21.19
567,2018-11-09,21.02
568,2018-11-12,19.02
569,2018-11-13,19.6
570,2018-11-14,20.82
571,2018-11-15,21.49
572,2018-11-16,20.66
573,2018-11-19,19.11
574,2018-11-20,19.2
575,2018-11-21,18.72
576,2018-11-23,19.38
577,2018-11-26,20.07
578,2018-11-27,21.05
579,2018-11-28,21.33
580,2018-11-29,21.42
581,2018-11-30,21.3
582,2018-12-03,23.7
583,2018-12-04,21.11
584,2018-12-06,21.29
585,2018-12-07,19.45
586,2018-12-10,19.98
587,2018-12-11,19.98
588,2018-12-12,20.48
589,2018-12-13,19.86
590,2018-12-14,19.89
591,2018-12-17,18.82
592,2018-12-18,19.5
593,2018-12-19,18.16
594,2018-12-20,17.94
595,2018-12-21,16.91
596,2018-12-24,16.65
597,2018-12-26,17.89
598,2018-12-27,17.48
599,2018-12-28,17.82
600,2018-12-31,18.45
601,2019-01-02,18.82
602,2019-01-03,17.04
