,DateTime,Close
0,2016-08-11,26.98
1,2016-08-12,27.04
2,2016-08-15,27.38
3,2016-08-16,27.35
4,2016-08-17,27.3
5,2016-08-18,27.27
6,2016-08-19,27.34
7,2016-08-22,27.13
8,2016-08-23,27.21
9,2016-08-24,27.01
10,2016-08-25,26.9
11,2016-08-26,26.74
12,2016-08-29,26.7
13,2016-08-30,26.5
14,2016-08-31,26.53
15,2016-09-01,26.68
16,2016-09-02,26.93
17,2016-09-06,26.92
18,2016-09-07,27.09
19,2016-09-08,26.38
20,2016-09-09,25.78
21,2016-09-12,26.36
22,2016-09-13,27.0
23,2016-09-14,27.94
24,2016-09-15,28.89
25,2016-09-16,28.73
26,2016-09-19,28.39
27,2016-09-20,28.39
28,2016-09-21,28.38
29,2016-09-22,28.65
30,2016-09-23,28.18
31,2016-09-26,28.22
32,2016-09-27,28.28
33,2016-09-28,28.49
34,2016-09-29,28.04
35,2016-09-30,28.25
36,2016-10-03,28.13
37,2016-10-04,28.25
38,2016-10-05,28.26
39,2016-10-06,28.48
40,2016-10-07,28.51
41,2016-10-10,29.01
42,2016-10-11,29.08
43,2016-10-12,29.34
44,2016-10-13,29.25
45,2016-10-14,29.41
46,2016-10-17,29.39
47,2016-10-18,29.36
48,2016-10-19,29.28
49,2016-10-20,29.25
50,2016-10-21,29.13
51,2016-10-24,29.4
52,2016-10-25,29.57
53,2016-10-26,28.89
54,2016-10-27,28.63
55,2016-10-28,28.43
56,2016-10-31,28.39
57,2016-11-01,27.87
58,2016-11-02,27.9
59,2016-11-03,27.46
60,2016-11-04,27.21
61,2016-11-07,27.6
62,2016-11-08,27.76
63,2016-11-09,27.72
64,2016-11-10,26.95
65,2016-11-11,27.11
66,2016-11-14,26.43
67,2016-11-15,26.78
68,2016-11-16,27.5
69,2016-11-17,27.49
70,2016-11-18,27.51
71,2016-11-21,27.93
72,2016-11-22,27.94
73,2016-11-23,27.8
74,2016-11-25,27.94
75,2016-11-28,27.89
76,2016-11-29,27.86
77,2016-11-30,27.63
78,2016-12-01,27.36
79,2016-12-02,27.47
80,2016-12-05,27.28
81,2016-12-06,27.48
82,2016-12-07,27.75
83,2016-12-08,28.03
84,2016-12-09,28.49
85,2016-12-12,28.32
86,2016-12-13,28.8
87,2016-12-14,28.8
88,2016-12-15,28.95
89,2016-12-16,28.99
90,2016-12-19,29.16
91,2016-12-20,29.24
92,2016-12-21,29.26
93,2016-12-22,29.07
94,2016-12-23,29.13
95,2016-12-27,29.31
96,2016-12-28,29.18
97,2016-12-29,29.18
98,2016-12-30,28.96
99,2017-01-03,29.03
100,2017-01-04,29.0
101,2017-01-05,29.15
102,2017-01-06,29.48
103,2017-01-09,29.75
104,2017-01-10,29.78
105,2017-01-11,29.93
106,2017-01-12,29.81
107,2017-01-13,29.75
108,2017-01-17,30.0
109,2017-01-18,29.99
110,2017-01-19,29.94
111,2017-01-20,30.0
112,2017-01-23,30.02
113,2017-01-24,29.99
114,2017-01-25,30.47
115,2017-01-26,30.48
116,2017-01-27,30.43
117,2017-01-30,30.39
118,2017-01-31,30.32
119,2017-02-01,32.19
120,2017-02-02,32.13
121,2017-02-03,32.27
122,2017-02-06,32.57
123,2017-02-07,32.88
124,2017-02-08,33.01
125,2017-02-09,33.1
126,2017-02-10,33.03
127,2017-02-13,33.32
128,2017-02-14,33.75
129,2017-02-15,33.88
130,2017-02-16,33.84
131,2017-02-17,33.93
132,2017-02-21,34.17
133,2017-02-22,34.27
134,2017-02-23,34.13
135,2017-02-24,34.16
136,2017-02-27,34.24
137,2017-02-28,34.24
138,2017-03-01,34.94
139,2017-03-02,34.73
140,2017-03-03,34.94
141,2017-03-06,34.83
142,2017-03-07,34.87
143,2017-03-08,34.75
144,2017-03-09,34.67
145,2017-03-10,34.79
146,2017-03-13,34.8
147,2017-03-14,34.74
148,2017-03-15,35.11
149,2017-03-16,35.17
150,2017-03-17,34.98
151,2017-03-20,35.37
152,2017-03-21,34.96
153,2017-03-22,35.36
154,2017-03-23,35.23
155,2017-03-24,35.16
156,2017-03-27,35.22
157,2017-03-28,35.95
158,2017-03-29,36.04
159,2017-03-30,35.98
160,2017-03-31,35.92
161,2017-04-03,35.93
162,2017-04-04,36.19
163,2017-04-05,36.01
164,2017-04-06,35.92
165,2017-04-07,35.84
166,2017-04-10,35.79
167,2017-04-11,35.4
168,2017-04-12,35.45
169,2017-04-13,35.26
170,2017-04-17,35.46
171,2017-04-18,35.3
172,2017-04-19,35.16
173,2017-04-20,35.61
174,2017-04-21,35.56
175,2017-04-24,35.9
176,2017-04-25,36.13
177,2017-04-26,35.91
178,2017-04-27,35.95
179,2017-04-28,35.9
180,2017-05-01,36.64
181,2017-05-02,36.87
182,2017-05-03,36.76
183,2017-05-04,36.62
184,2017-05-05,37.24
185,2017-05-08,38.25
186,2017-05-09,38.49
187,2017-05-10,38.31
188,2017-05-11,38.49
189,2017-05-12,39.02
190,2017-05-15,38.92
191,2017-05-16,38.87
192,2017-05-17,37.55
193,2017-05-18,38.12
194,2017-05-19,38.26
195,2017-05-22,38.49
196,2017-05-23,38.45
197,2017-05-24,38.32
198,2017-05-25,38.47
199,2017-05-26,38.4
200,2017-05-30,38.42
201,2017-05-31,38.19
202,2017-06-01,38.27
203,2017-06-02,38.85
204,2017-06-05,38.48
205,2017-06-06,38.61
206,2017-06-07,38.84
207,2017-06-08,38.74
208,2017-06-09,37.24
209,2017-06-12,36.35
210,2017-06-13,36.65
211,2017-06-14,36.29
212,2017-06-15,36.07
213,2017-06-16,35.56
214,2017-06-19,36.58
215,2017-06-20,36.25
216,2017-06-21,36.47
217,2017-06-22,36.41
